sector,sex,name,total
Jewish,F,צפורה,12338
Muslim,M,נור,3556
Jewish,F,אליענה,907
Muslim,F,אבתיסאם,1763
Muslim,F,נגוא,266
Jewish,M,אלברט,479
Druze,F,זהרה,136
Christian,F,רנדה,159
Muslim,M,פרג,122
Muslim,F,סנא,3148
Muslim,F,סארא,103
Muslim,F,נאהד,388
Jewish,M,אימרי,3969
Jewish,F,גיטי,511
Jewish,M,חי,1820
Muslim,M,נאשד,105
Jewish,F,אנאבל,303
Muslim,F,יארא,2097
Jewish,F,גילת,816
Other,M,ליאם,571
Jewish,F,נלי,637
Muslim,F,פידא,1769
Druze,F,ולאא,121
Jewish,F,רותם,12181
Jewish,F,מליסה,154
Jewish,M,יונדב,111
Druze,M,עאמר,178
Jewish,M,אופק,8248
Jewish,M,צוף,286
Christian,M,עאדל,192
Other,F,מרים,351
Other,M,דניאל,4890
Jewish,F,יפית,4387
Muslim,F,בראאה,2615
Jewish,F,בל,357
Muslim,F,סוניה,249
Other,M,מרק,865
Christian,F,נאילה,126
Jewish,M,חובב,232
Jewish,M,גלבוע,124
Jewish,M,לאו,263
Jewish,F,לירי,1620
Muslim,F,רתאג',139
Jewish,F,ויקטוריה,1310
Muslim,M,הלאל,876
Muslim,M,חאפז,271
Jewish,F,תהלה,1017
Muslim,F,זינא,106
Jewish,F,תכלת,459
Jewish,F,מירה,2147
Muslim,M,עלאא,5265
Muslim,F,בלסם,400
Jewish,F,שלו,377
Jewish,F,שושנה,16034
Druze,M,אכרם,106
Jewish,F,רותי,2751
Jewish,F,לירן,1222
Muslim,F,נבא,393
Muslim,M,מוחיי,270
Jewish,F,נצחיה,304
Muslim,M,עימאד,3628
Jewish,F,עליה,118
Druze,M,דן,182
Muslim,M,ראסם,292
Muslim,F,חנין,4089
Christian,M,פרח,114
Druze,F,למאר,170
Muslim,F,זיין,121
Jewish,M,דב,4850
Jewish,F,שמחה,5259
Druze,M,דין,111
Jewish,F,שילת,4869
Druze,F,אן,131
Druze,M,נאסר,145
Christian,M,אדוארד,185
Muslim,F,ג'דיר,252
Muslim,F,נאדיא,512
Jewish,F,חרות,728
Other,M,דן,380
Jewish,M,ליר,202
Druze,F,לנא,218
