sector,sex,name,total
Jewish,F,רונה,2934
Jewish,F,יסכה,2896
Jewish,F,הגר,2891
Jewish,F,אושרת,2877
Jewish,F,עדינה,2797
Jewish,F,אלמוג,2797
Jewish,F,רננה,2788
Jewish,F,צופיה,2784
Jewish,F,חדוה,2758
Jewish,F,רותי,2751
Jewish,F,זיוה,2650
Jewish,F,אנאל,2609
Jewish,F,אוראל,2593
Jewish,F,עירית,2548
Jewish,F,שרונה,2546
Jewish,F,כרמלה,2529
Jewish,F,רוחמה,2472
Jewish,F,אוסנת,2455
Jewish,F,מלי,2394
Jewish,F,מישל,2394
Jewish,F,עידית,2390
Jewish,F,יולי,2387
Jewish,F,יהל,2377
Jewish,F,ירין,2362
Jewish,F,עפרה,2338
Jewish,F,הללי,2288
Jewish,F,קרין,2276
Jewish,F,אמונה,2265
Jewish,F,סגלית,2245
Jewish,F,ורדה,2228
Jewish,F,אופק,2202
Jewish,F,כוכבה,2199
Jewish,F,ניצה,2182
Jewish,F,גאולה,2159
Jewish,F,שירז,2159
Jewish,F,מירה,2147
Jewish,F,עמליה,2127
Jewish,F,מיכאלה,2110
Jewish,F,אושרית,2096
Jewish,F,עופרה,2068
Jewish,F,דורין,2046
Jewish,F,דריה,2042
Jewish,F,רז,2035
Jewish,F,יונה,2016
Jewish,F,אודיה,2016
Jewish,F,צליל,2006
Jewish,F,בלומה,2001
Jewish,F,ירדנה,1991
Jewish,F,אביבית,1979
Jewish,F,לילי,1973
Jewish,F,דקלה,1959
Jewish,F,רון,1954
Jewish,F,תקוה,1933
Jewish,F,אחינועם,1919
Jewish,F,ציונה,1890
Jewish,F,שרי,1883
Jewish,F,אושר,1881
Jewish,F,יעלה,1876
Jewish,F,נירית,1874
Jewish,F,לורן,1872
Jewish,F,אליאן,1866
Jewish,F,עטרה,1841
Jewish,F,אדר,1840
Jewish,F,שגית,1839
Jewish,F,משי,1832
Jewish,F,מיתר,1827
Jewish,F,דיקלה,1826
Jewish,F,תמי,1814
Jewish,F,ימית,1811
Jewish,F,לין,1811
Jewish,F,דלית,1800
Jewish,F,גיל,1795
Jewish,F,ברוריה,1792
Jewish,F,חני,1718
Jewish,F,אנה,1716
Jewish,F,נירה,1666
Jewish,F,לבנה,1659
Jewish,F,ליבא,1640
Jewish,F,מירית,1633
Jewish,F,צילה,1630
Jewish,F,לירי,1620
Jewish,F,פרידה,1617
Jewish,F,גולדה,1600
Jewish,F,תמרה,1599
Jewish,F,הינדא,1599
Jewish,F,לני,1588
Jewish,F,רני,1568
Jewish,F,דנית,1546
Jewish,F,סופיה,1543
Jewish,F,ריקי,1542
Jewish,F,עמנואל,1541
Jewish,F,יהב,1527
Jewish,F,סהר,1525
Jewish,F,שחף,1518
Jewish,F,ענהאל,1518
Jewish,F,שיינא,1513
Jewish,F,דגנית,1496
Jewish,F,מאירה,1491
Jewish,F,מאור,1482
Jewish,F,בלה,1479
Jewish,F,אלי,1479
Jewish,F,רעיה,1439
Jewish,F,יונית,1417
Jewish,F,כנרת,1401
Jewish,F,אליס,1400
Jewish,F,לוטם,1395
Jewish,F,ליבנת,1390
Jewish,F,לינור,1365
Jewish,F,ים,1361
Jewish,F,תפארת,1339
Jewish,F,שמרית,1338
Jewish,F,ויקטוריה,1310
Jewish,F,בת חן,1307
Jewish,F,מיאל,1307
Jewish,F,זהבית,1306
Jewish,F,חופית,1287
Jewish,F,פזית,1258
Jewish,F,סול,1255
Jewish,F,הניה,1254
Jewish,F,אורנית,1246
Jewish,F,קים,1245
Jewish,F,לירן,1222
Jewish,F,אן,1210
Jewish,F,אווה,1206
Jewish,F,שיינדל,1204
Jewish,F,נינה,1202
